"APPLICATION_NUMBER","Annual_Demand_2017_2019","Annual_Demand_2017_2020","Annual_Demand_2017_2022"
"A014051",25.99,26.03,20.3
"A014049",67.84,72.98,48.65
"A014048",50.02,52.61,35.08
"A014044B",9.07,10.4,6.93
"A014044A",17.61,16.7,11.13
"A014045",0,0,2.86
"A014034",25.27,26.38,17.58
"A014033",42.96,55.88,52.02
"A014030",9.36,9.25,6.17
"A013989",2.66,2,1.79
"A013985",4.7,5.25,3.5
"A013984",18,13.5,9
"A013987",0,0,0
"A013974",0,0,0
"A013973",4.48,3.92,2.74
"A013967",3.35,2.5,1.67
"A013933",0,0,0
"A013932",4.36,7.53,19.44
"A013874",44.1,36.28,29.72
"A013864",4,4,4
"A013863",0,0,0
"A013862",3.67,4.14,4.24
"A013832",6.02,4.52,3.01
"A013831",6.67,7.89,8.99
"A013811",12.78,13.31,8.87
"A013810",6.95,9.45,8.73
"A013789",0,0,0
"A013758",21.2,19,14.32
"A013755",32.61,33.24,29.61
"A013753",0.03,0.02,0.02
"A013749",4.63,3.47,2.87
"A013729",20.8,18.81,12.54
"A013716",47.3,42.62,37.83
"A013706",9.63,9.65,7.74
"A013695",66.83,54.15,58.27
"A013661",107.78,125.22,96.63
"A013633",0,0,0
"A013579",4.11,3.09,2.47
"A013578",0,0.01,0.01
"A013557",0,8176.25,5807.17
"A013533",0,0,0
"A013528",16.29,14.68,9.95
"A013529",25.25,36.2,38.11
"A013474",20.33,26.97,19.89
"A013468",2.89,2.17,1.74
"A013391",0,0,0
"A013331",6.13,NA,NA
"A013289",5,3.95,2.63
"A013288",41.6,31.2,20.8
"A013287",17.76,13.32,8.88
"A013281B",0,0,0
"A013277",6.23,12.62,14.73
"A013270",43.08,32.3,21.97
"A013217",435.18,423.68,343.97
"A013182B",22.14,23.7,17.83
"A013182A02",5.27,5.64,4.9
"A013182A01",12.99,13,9.67
"A013161",0.13,0.12,0.08
"A013126B",5.9,9.65,6.43
"A013126A",5.72,5.59,4.87
"A013030B",71.98,70.61,52.88
"A013030A",0,12.16,21.88
"A012958",102.19,91.94,61.29
"A012951",28,28,28
"A012919B",4658.11,3590.94,2858.29
"A012525",0,0,0
"A012232",103.93,77.95,77.4
"A011846",25.83,19.38,12.92
"A011383",63.63,66.78,48.94
"A009832B",0,0,0
"A009832A",0.05,0.03,0.02
"A008974",0,0,0
"A006855",9.81,10.48,7.82
"A006854",0,0,0
"A006805A",0,0,0
"A006642",0,0,0
"A006464",0,0,0
"A004832",33.13,33,22
"A004307",0,0,0
"A004308",8.76,10.8,7.2
"A003601",11.45,15.37,18.51
"A003565",7.26,9.8,8.86
"A003421",0,0,0
"A002928",0,0,0
"A002723",0,0,0
"A001983",0,NA,NA
"S015510",0,0,0
"S015508",0,0,0
"S019769",996.87,1008.02,849.2
"S019766",183.5,161,166.53
"S017157",0,85,73.33
"S016900",1.97,3.21,2.71
"S014857",0.78,2.58,2.3
"S019395",0,0,0
"S019392",0,0,0
"S019389",2,1.5,1
"S015509",0,0,0
"S009905",0,0,0
"S014129",0,0,0
"S008380",2.74,2.73,2.73
"S021382",0,0,0
"S017160",15,15,15
"S018523",0.49,0.37,0.3
"S018457",0,0,0
"S018456",2,1.55,1.26
"S015020",21.16,21,14
"S015198",0.67,0.67,0.67
"S015197",1.05,0.89,0.61
"S022867",0,0,0
"S022865",89.6,106.17,84.51
"S022864",0,0,0
"S022862",0,0,0
"S022861",0,0,0
"S022860",12.77,12.35,30.5
"S013392",0.44,0.43,0.39
"S008714",0,0,0
"S023687",0,0,0
"S020096",4.47,4.46,3
"S017020",2.21,2.01,1.68
"S015925",11.44,11.44,11.44
"S015909",0,NA,NA
"S022856",9.38,8.6,6.71
"S022853",11.37,12.03,10.63
"S013755",0,0,0
"S027894",0,NA,NA
"S014237",1207.71,1226.4,1145.74
"S008430",0,0,6.03
"S015418",19.33,4.36,3.78
"S015196",1.49,1.48,1.16
"S017301",0.49,0.52,0.39
"S017281",11.04,10.85,8.56
"S023888",16.86,12.65,14.65
"S015365",0,0,0
"S008628",29.6,30.04,25.27
"S025401",4.11,4.16,3.59
"S021358",0.06,0.05,0.03
"S015358",201.47,156.95,134.98
"S002059",0,0,0
"S002341",0,0,4.5
"S002379",0,0,0
"S004241",0,0,0
"S004997",0,0,0
"S006298",0,0,0
"S006491",1.71,2.56,1.88
"S008071",103.47,103.47,103.47
"S008074",0,0,0
"S008075",0,NA,NA
"S008080",0,0,0
"S008081",0,0,0
"S008082",0,0,0
"S008118",0,NA,NA
"S008121",0,0,0
"S008122",0,0,0
"S008128",56.79,59.85,49.39
"S008163",7.51,NA,NA
"S008184",2.8,2.12,1.42
"S008348",0,0,0
"S008384",0,0,0
"S008392",1.12,0.84,0.56
"S008451",0,0,0
"S008453",3.2,6.27,7.8
"S008596",5.45,6.06,6.57
"S008659",0,0,0
"S008703",0,0,0
"S008765",18.27,17.98,19.13
"S008766",11.79,11.39,10.51
"S008824",0,NA,NA
"S008910",0.04,0.1,0.07
"S009525",1.98,2.13,1.87
"S010433",0,0,0
"S010522",0,NA,NA
"S010843",0.84,2.12,1.42
"S010889",0.83,0.62,0.5
"S010997",0,0,0
"S010999",1.5,4.6,8.78
"S011135",4.34,3.98,3.5
"S011330",11.44,9.97,6.65
"S011331",13.15,12.57,8.38
"S012241",1.58,1.26,1.01
"S012429",0,0,0
"S012430",0.75,0.5,0.3
"S012431",2,1.33,0.8
"S012432",2.5,1.67,1
"S012433",0.75,0.5,0.3
"S012484",0,0,0
"S012533",0,0,0
"S012593",0,0,0
"S012594",0,0,0
"S012595",0,0,0
"S012597",0,0,0
"S012749",3.11,3.08,2.49
"S012751",0,NA,NA
"S013153",0,0,0
"S013187",0,0,0
"S013246",10.36,10.21,10.46
"S013696",42.2,31.65,21.1
"S013724",0,0,0
"S013792",0.41,0.62,0.68
"S013793",0.18,0.27,0.29
"S013947",24,NA,NA
"S013977",2.53,2.7,1.8
"S014005",112.01,171.61,135.76
"S014016",9.5,8.62,13.57
"S014057",12.2,16.6,11.06
"S014060",0,0.75,0.5
"S014061",9.17,7.35,4.9
"S014062",0,0,0
"S014063",0,0.38,0.25
"S014064",0,0,0
"S014065",0,0,0
"S014066",0.25,0.25,0.16
"S014071",8.27,10.97,7.32
"S014072",1.54,1.27,0.85
"S014073",11.87,14.4,9.6
"S014074",4.71,5.8,3.87
"S014077",3.3,4.32,2.88
"S014078",2.7,2.28,1.82
"S014079",19.07,21.9,19.12
"S014086",94.4,108.8,72.53
"S014087",0,0,0
"S014088",14.7,15.5,10.33
"S014089",23.73,23.68,15.78
"S014092",33,33.35,22.23
"S014094",26,30,20
"S014200",12.73,11.87,9.91
"S014205",0.01,0.29,0.22
"S014230",23.41,24.56,22.86
"S014231",28,0,3.22
"S014292",1.08,2.19,1.77
"S014293",0.71,0.71,0.59
"S014313",0,0,0
"S014322",0,0,0
"S014373",17.33,17,15.33
"S014374",2.01,11.45,17.36
"S014392",63.16,66.09,52.63
"S014393",28.47,21.36,14.24
"S014554",0.02,0.02,0.02
"S014724",0,0,0
"S014749",0,0,0
"S014851",67.23,71.25,59.12
"S014861",7.2,7.39,7.39
"S014862",2.78,2.88,2.88
"S014863",2.3,2.82,2.82
"S014864",6.89,6.89,6.89
"S014865",6.89,6.89,6.89
"S014866",2.12,2.12,2.12
"S014922",42.9,25.1,12.55
"S014923",0,0,0
"S014946",60.34,64,46.34
"S014973",0.27,0.25,0.17
"S014974",0.27,0.25,0.17
"S014975",0.27,0.25,0.17
"S014976",0.27,0.25,0.17
"S014977",0.27,0.25,0.17
"S014978",0.08,0.07,0.05
"S014979",0.08,0.07,0.05
"S014980",0.08,0.07,0.05
"S014996",12.15,15.06,15.74
"S015023",11.98,17.16,19.18
"S015035",76.07,84.3,56.2
"S015036",1.2,1.2,0.8
"S015037",5.93,5.25,3.5
"S015038",3.03,2.67,1.78
"S015041",27.19,33.56,43.36
"S015042",0.07,0.05,8.64
"S015043",5.34,6.03,6.13
"S015044",37.57,35.92,26.32
"S015047",4.27,5.7,8.6
"S015093",0.48,5.1,4.38
"S015094",0,0,3.41
"S015107",11,7.33,4.4
"S015147",0.27,0.33,0.33
"S015184",47.8,51.3,54.16
"S015199",0,0,0
"S015200",0.05,0.03,0.02
"S015201",0.11,0.08,1.6
"S015202",0.01,0,0
"S015203",0,NA,NA
"S015206",1.81,NA,NA
"S015208",2.28,NA,NA
"S015228",366.43,NA,NA
"S015238",12.67,9.5,7.6
"S015246",4.17,8.37,5.58
"S015303",0.07,0.05,0.03
"S015313",0,0.22,11.81
"S015314",4.1,3.08,8.19
"S015315",0,0,20.3
"S015316",0,0,0
"S015317",0,0,0
"S015318",21.33,9.88,9.5
"S015335",0.31,0.36,0.3
"S015336",17.46,24.01,16
"S015337",17.5,17.49,10.5
"S015338",1.44,1.44,1.38
"S015349",2.6,2.6,4.18
"S015353",0.93,1.45,1.09
"S015362",1.3,0.99,2.29
"S015403",4.95,4.24,3.49
"S015404",27.83,20.88,20.45
"S015414",0,0,0
"S015472",33.35,33.21,22.14
"S015477",0,0,0
"S015478",0,0,0
"S015479",0,0,0
"S015480",0,0,0
"S015522",0,0,0
"S015532",0,0,0
"S015549",0,0,0
"S015621",5.26,8.94,14.53
"S015641",6.18,6.18,6.18
"S015677",10.4,7.8,5.2
"S015689",0,0,0
"S015690",0.43,0.42,0.36
"S015691",0.97,0.73,0.48
"S015721",0.53,2.09,1.4
"S015722",2.54,3.25,2.17
"S015723",0,0,0
"S015745",0.17,0.12,0.23
"S015746",1.25,1,0.91
"S015751",1.3,1.73,1.15
"S015752",13.44,14.6,9.73
"S015753",0.23,0.17,0.11
"S015758",8.16,8.16,6.7
"S015759",0,0,0
"S015790",3.61,4.79,4.48
"S015800",0,NA,NA
"S015805",29.17,55.88,47.44
"S015806",24.17,50.75,40.76
"S015813",2.95,5,5
"S015816",3.68,3.87,4.05
"S015830",0,0,0
"S015831",0.74,0.55,0.37
"S015833",1.2,NA,NA
"S015840",2.77,2.76,2.64
"S015850",16.63,16.9,17.75
"S015863",4.5,5,5
"S015871",0,NA,0
"S015874",0.57,0.45,0.55
"S015884",0.93,0.23,0.71
"S015903",3.5,3.06,3.02
"S015910",1.5,0.75,0.5
"S015924",14.4,13.16,13.87
"S015935",0.77,0.98,0.72
"S015942",13.95,15.75,11.28
"S015945",17.53,18.92,12.62
"S015950",0,0,0
"S015951",10.03,9.65,7.28
"S015952",0.16,0.12,0.12
"S015953",0,0,0
"S015962",17.77,19.57,13.05
"S015963",1.1,2.9,1.94
"S015964",0,3.26,2.17
"S015965",25.15,14.93,9.95
"S015989",0,0,0
"S015990",20.2,18.7,16.14
"S016021",0,0,0
"S016022",1.3,1.33,0.89
"S016023",13.56,15.35,10.23
"S016024",1.14,0.88,0.59
"S016044",0,NA,NA
"S016045",4.48,4.75,5.61
"S016063",11.43,12.67,8.45
"S016064",0.76,0.62,0.42
"S016093",1.74,7.06,6.7
"S016118",5.9,6.37,5.1
"S016164",3.97,6.05,5.81
"S016165",1,1,0.93
"S016166",14.07,15.85,10.56
"S016167",1,0.75,0.5
"S016304",34.85,30.62,24.09
"S016329",1.64,9.7,11.08
"S016352",10.44,18.19,15.23
"S016363",0,0,1.19
"S016364",0,0,0
"S016366",0,1.32,4.96
"S016367",1.89,1.41,0.94
"S016368",0,0,0
"S016369",0.13,0.1,2.15
"S016370",0,0,0
"S016399",10.67,8.5,8.5
"S016632",3.48,5.04,5.65
"S016633",9.63,8.78,9.03
"S016670",15.1,24.3,31.46
"S016671",10.34,7.75,5.17
"S016690",0.06,0.07,0.08
"S016698",0,0,0
"S016707",11.55,13.54,16.55
"S016708",3.2,3.2,3.2
"S016773",102.33,85.75,93.3
"S016774",5.87,5.1,4.73
"S016775",0.9,0.68,0.93
"S016776",22.67,20.38,20.3
"S016777",9.8,9.95,13.47
"S016781",7.4,8.6,7.95
"S016782",4.47,3.35,3.9
"S016783",5.73,6.32,6.56
"S016790",2.17,3.2,3.77
"S016812",4.37,7.95,12.77
"S016819",12.13,9.2,9.28
"S016836",46.27,39.88,34.42
"S016837",21.4,21.5,18.07
"S016838",7.13,7.1,6.37
"S016839",56.13,55.32,38.78
"S016840",0,0,0
"S016841",26.17,35.7,41.48
"S016842",0,5.1,6.88
"S016885",2.54,3.17,3.42
"S016886",2.6,3.02,3.48
"S016887",6.7,8.05,9.62
"S016896",0.9,NA,NA
"S016897",0.54,0.4,0.27
"S016901",0,0,0
"S016911",3.16,3.22,3.12
"S017039",6.69,6.82,5.29
"S017040",3.18,2.46,1.64
"S017041",0,0,0
"S017049",30.03,22.95,26.15
"S017050",0,0,0
"S017052",0,0,0
"S017203",0,0,0
"S017309",3.94,2.95,2.95
"S017312",32.6,26.95,29.17
"S017348",22.4,24,19.67
"S017474",8.74,27.23,23.25
"S017657",0.02,0.01,0
"S017742",0,18.93,15.52
"S017745",0,17.07,17.6
"S017748",0.88,0.66,0.44
"S017751",5.94,9.21,8.04
"S017791",0,0,0
"S017975",0,0,0
"S017987",0,0,0
"S017990",3.13,2.35,1.57
"S017992",4.5,3.38,2.25
"S017993",1.26,1.44,1.22
"S017995",38.62,28.96,19.31
"S018130",0.14,0.1,3.32
"S018133",0.74,1.15,2.36
"S018136",0.01,0,0
"S018139",0,0,1.17
"S018151",0,1.75,2.17
"S018154",6.77,6.38,4.25
"S018187",0.93,1.02,1.06
"S018193",6.43,5.15,5.83
"S018208",31.7,29.05,33.53
"S018211",13.6,12.45,10.28
"S018214",4.55,3.85,2.57
"S018217",8.29,6.9,4.63
"S018220",0.11,0.08,0.05
"S018223",0.98,0.95,0.63
"S018277",6,6,6.46
"S018387",0,12.54,8.51
"S018467",0.8,0.93,1.86
"S018470",2.56,2.66,2.08
"S018473",0,0,0
"S018474",7.47,5.82,9.82
"S018477",3.87,3.05,4.92
"S018479",39.43,30.07,26.31
"S018480",23.43,17.58,18.62
"S018483",15,6.47,4.31
"S018486",6.37,7.67,5.11
"S018490",1.1,1.3,3.52
"S018503",0,0,0
"S018710",13.3,13.93,9.28
"S018763",9.33,7.45,6.25
"S018787",1.25,1.14,0.95
"S019039",12.51,10.76,9.52
"S019196",1.44,1.1,1.17
"S019202",26.44,20.64,20.64
"S019214",4.56,3.48,3.48
"S019220",1.07,NA,NA
"S019235",12.14,NA,NA
"S019287",0.03,0.02,0.02
"S019291",44.93,40.81,33.79
"S019386",13.67,14,9.33
"S019394",16,16,11.92
"S019594",2.24,2.42,1.84
"S019643",0.62,1.71,1.31
"S019738",6.03,6.42,5.14
"S019893",0,NA,NA
"S019908",0.11,0,0
"S019911",1,0.9,0.8
"S019914",2.3,2.1,1.55
"S019917",9.27,7.4,6.9
"S019924",0.67,0,0
"S019932",0,0,3.9
"S019943",0,NA,NA
"S020069",0.95,0.9,1.11
"S020083",0,0,0
"S020086",0,0,0
"S020090",0,0,0
"S020091",0,0,0
"S020094",0,0,0
"S020098",19.75,14.81,9.88
"S020102",0,0,0
"S020148",4.08,4.07,4.08
"S020152",7.47,7.27,7.53
"S020175",6.87,6.56,6.33
"S020240",3,2.28,1.54
"S020289",26.41,20.8,21.14
"S020290",0,0.52,0.35
"S020291",0.19,0.17,0.12
"S020293",32.09,24.42,21.3
"S020294",10.14,7.7,6.45
"S020356",6.6,4.95,3.3
"S020433",4.33,3.75,3.67
"S020523",1.12,0.31,0.46
"S020527",0.16,0.12,0.12
"S020627",38.63,30.82,23.23
"S020709",169.75,189.14,200.73
"S020788",2.85,4.62,4.62
"S021071",3.13,3.13,3.13
"S021080",0,0,0
"S021081",0,15,15
"S021082",0,10,10
"S021309",1.2,9.38,16.58
"S021321",3.06,2.99,2.92
"S021339",0,0,0
"S021352",0.42,0.31,0.21
"S021381",42,31.5,21
"S021384",11.34,8.5,8.5
"S021385",0,0,0
"S021386",0,0,0
"S021387",0.3,0.31,0.22
"S021388",1,1.12,0.87
"S021394",0,0,0
"S021395",0,0,0
"S021396",0,0,0
"S021397",0,0,0
"S021398",0,0,0
"S021399",0.04,0.22,0.29
"S021466",0.01,0.01,0.01
"S021470",3.63,4.45,3.8
"S021471",6.33,5.78,5.32
"S021472",2.43,2.6,2.1
"S021473",8.2,6.47,4.32
"S021475",233.75,NA,NA
"S021480",17.64,24.2,25.9
"S021482",0,0,0
"S021483",0,0,0
"S021484",0,0,0
"S021487",10,10.25,8.65
"S021985",0.02,0.02,0.02
"S021986",5.54,4.16,2.77
"S021993",0,0,0
"S021994",0,0,0
"S021995",0,0,0
"S021996",0,0,0
"S021997",0,0,0
"S021998",17.12,12.84,8.56
"S021999",0,0,0
"S022000",0,0,0
"S022001",14.98,11.23,7.49
"S022002",0,0,0
"S022003",0,0,0
"S022004",0,0,0
"S022006",6.33,5.75,3.83
"S022008",2.7,6.88,9.51
"S022009",1.07,0.82,0.55
"S022012",2.07,1.56,1.04
"S022013",10.43,NA,NA
"S022014",0,NA,NA
"S022130",0,0,0
"S022156",2.14,5.83,8.19
"S022312",0,0,0
"S022313",13.48,14.42,14.74
"S022314",0,0,0
"S022316",0.02,0.01,0.01
"S022326",36.63,36.88,24.59
"S022335",1.75,1.79,1.76
"S022339",0,0,5
"S022386",2.1,4.15,3.43
"S022407",0,NA,NA
"S022408",0,NA,NA
"S022409",1.6,1.35,1.17
"S022410",2,2.03,2.27
"S022411",0,0,0
"S022464",9.42,NA,NA
"S022465",0,0,0
"S022490",0.01,0.02,0.02
"S022512",16.51,16.18,13.95
"S022523",0.36,0.34,0.27
"S022724",0,0,0
"S022725",0,0,0
"S022726",0,0,0
"S022799",0,NA,NA
"S022800",0,NA,NA
"S022801",0,NA,NA
"S022803",1.5,1.5,1.5
"S022804",0,NA,NA
"S022868",7.77,16.25,20.25
"S022869",0,0,0
"S022870",0,0,0.25
"S022877",8.67,8.75,9.17
"S022879",11.67,9.5,7
"S022882",12.67,10.25,7.67
"S022886",0,0.01,0.01
"S022889",9.9,12.45,9.55
"S022890",0,0,0
"S022895",6.33,6,5
"S022914",0,0,0
"S023451",10,NA,0
"S023462",0,0,0
"S023470",14.46,15.89,13.93
"S023681",0,0,0
"S023685",0,0,0
"S023695",15.63,15.97,10.65
"S023696",12.03,14.45,9.63
"S023697",13.33,12.8,8.53
"S023711",4.26,6.21,5.96
"S023712",3.01,3.38,3.75
"S023728",11.66,9.3,8.26
"S023729",11.93,10.39,11.9
"S023862",7.96,3.98,4.06
"S023869",8,8,8
"S023870",5,5.75,5.75
"S023896",2.83,3.17,3.05
"S023897",1.57,1.7,1.57
"S023932",4.07,3.98,3.89
"S023954",42.03,40.8,34.19
"S023955",83.54,82.21,66.02
"S023956",4.27,4.9,4
"S023959",2.81,2.81,2.81
"S023960",1.5,1.25,1
"S023995",0,0,0
"S023996",0,0,0
"S023997",0,0,0
"S024090",2,NA,NA
"S024097",12.8,10.15,9.87
"S024104",31.23,30.6,32.72
"S024188",1.47,2.23,2.31
"S024370",0,0,0
"S024372",2.35,1.76,1.76
"S024404",3.79,3.71,3.21
"S024405",4.01,3.93,3.42
"S024410",0.69,0.8,4.13
"S024444",0,0,0
"S024445",0,11.25,11.63
"S024452",52.54,55.37,39.25
"S024464",0,0,2.62
"S024466",0,0,0
"S024467",0,0,0
"S024481",2.06,2.36,2.25
"S024509",6.67,6.92,9.77
"S024526",16.97,19.7,19.02
"S024552",0.16,0.23,0.24
"S024597",0.8,0.81,0.85
"S024621",0.29,0.24,0.18
"S024681",11.4,13.02,10.41
"S024682",2.4,4.2,3.36
"S024728",6.07,11.18,14.07
"S025029",9.95,11.81,7.87
"S025481",0.07,0.05,0.04
"S025482",1.35,1.07,0.71
"S025489",31.68,32.21,21.47
"S025576",5.97,8.39,8.04
"S025611",101.63,118.65,90.58
"S026053",0,0,0
"S026054",0,0,0
"S026091",0.11,0.12,0.09
"S026123",1.52,1.39,1.74
"S026217",23.86,23.86,22.54
"S026284",0.05,0.05,0.05
"S026314",0,0,0
"S026323",0,0,0
"S026464",0,NA,NA
"S026633",0.74,1.66,1.66
"S026643",1.1,1.1,1.1
"S026644",0,NA,NA
"S026645",0.32,0.32,0.31
"S026652",0.77,0.91,0.92
"S026656",0,0,0
"S026678",0.08,0.08,0.08
"S026687",0.29,0.3,0.2
"S026690",0.18,0.18,0.18
"S026692",0.08,0.08,0.08
"S026745",0,0,0
"S026754",0,0,0
"S026792",0.03,0.04,0.03
"S026794",0,0,0.03
"S026797",0.53,0.71,0.51
"S026879",0,NA,4.71
"S026889",0,NA,NA
"S026905",0,0,0
"S026934",2.88,0,0
"S026992",0.5,0.4,0.47
"S027032",0.57,0.57,0.34
"S027035",0.35,0.36,0.25
"S027081",0,0,0
"S027088",3.43,3.7,3.4
"S027089",0.4,0.39,0.34
"S027090",0.29,0.26,0.21
"S027091",0.42,0.34,0.23
"S027137",0.02,0.02,0.02
"S027159",0.34,0.34,0.34
"S027190",0,0.34,0.34
"S027304",1.53,1.53,1.53
"S027305",0.18,0.18,0.18
"S027371",0,NA,NA
"S027372",0.18,0.18,0.18
"S027379",1.12,1.12,1.12
"S027382",0.11,0.13,0.19
"S027405",0,NA,NA
"S027413",0.52,0.42,0.37
"S027491",0.3,0.34,0.34
"S027502",0,NA,NA
"S027519",0,0,0
"S027572",0.16,0.16,0.16
"S027597",0.09,0.1,0.1
"S027620",5.8,4.42,3.38
"S027644",3.33,2.94,2.54
"S027650",0.12,0.12,0.12
"S027664",0.02,0.02,0.02
"S027851",2.47,2.96,1.78
"S027865",0,0,0
"S028034",21.52,22.91,16.03
"S028118",2.48,1.2,1.2
"S028257",0,NA,NA
"S028258",0,NA,NA
"S028280",1.47,NA,NA
"S028307",0,NA,NA
"S028309",0,0.38,0.3
"S028323",0,0,0
"S028364",0,NA,NA
"S004345",8.87,6.65,4.43
"S009293",0,0,0
"S009294",0,0,0
"S009295",0,0,0
"S025243",1.18,1.37,1.17
"S015686",2.12,4.15,2.88
"S009045",0,NA,NA
"S004711",0,0,0
"S027648",0.48,0.55,0.48
"S024229",14.4,NA,0
"S028299",0,9.85,9.85
"S028355",5.66,3.13,2.62
"S009299",0,NA,NA
"S008709",0,NA,NA
"S025594",0.03,0.02,0.02
"S025690",17.5,17.62,17
"S010034",5.6,4.58,3.05
"S015825",0.28,0.22,0.14
"S009055",484.64,556.43,545.9
"S024683",46.07,45.85,45.85
"S009054",186.55,195.2,181.77
"S025957",0.31,0.35,0.28
"S009073",14.27,28.44,25.82
"S027799",0.69,NA,NA
"S009040",1.7,1.45,1.32
"S027251",4.48,4.58,4.58
"S027791",0,0,7.8
"S000114",1.7,0,0.22
"S000115",0.92,0.2,0.32
"S025784",0.02,0.02,0.02
"S000113",1.7,1.7,1.49
