"Date","PT_TMIN1","PT_TMIN2","PT_TMIN3","PT_TMIN4","PT_TMIN5","PT_TMIN6","PT_TMIN7","PT_TMIN8","PT_TMAX1","PT_TMAX2","PT_TMAX3","PT_TMAX4","PT_TMAX5","PT_TMAX6","PT_TMAX7","PT_TMAX8","PP_PRECIP1","PP_PRECIP2","PP_PRECIP3","PP_PRECIP4","PP_PRECIP5","PP_PRECIP6","PP_PRECIP7","PP_PRECIP8","PP_PRECIP9","PP_PRECIP10","PP_PRECIP11","PP_PRECIP12","PP_PRECIP13","PP_PRECIP14","PP_PRECIP15"
"2023-05-08",4.7,5.8,4.3,4.1,4.4,4.6,3.1,4.7,17.6,16.6,16.9,16.7,16.8,15.5,12.3,17.3,8.08,6.21,4.23,2.92,6.53,4.06,5.32,4.63,3.62,3.77,1.45,3.04,5.53,4.28,4.54
"2023-05-09",7.6,6.6,5.8,6.1,6.4,5.1,3.7,7.4,19,15.3,16.2,17.5,16.6,13.7,9.7,18.2,5.28,3.7,0.9,4.39,2.75,1.28,0.53,0.51,0.77,0.86,1.33,0.7,0.15,0.27,0.08
"2023-05-10",6.5,6,4.9,4.3,5.9,4.4,5.6,5.9,22.3,20.3,20.8,19.8,20.8,18.6,15.2,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-05-11",5.8,6,4.6,3.8,5.9,4.4,7.7,5.1,20.8,20.2,20.4,18.1,20.3,19,14.7,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-05-12",6.5,7.8,6.6,5.3,6.9,6.3,9.6,6.1,23.1,23.4,23.8,20.6,23.2,22,18,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-05-13",7.7,8.1,6.6,5.1,9.5,6.2,14.8,6.5,27,30.6,29.6,23,29,29.1,25.2,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-05-14",9.4,11.7,10,6.3,14.8,10.6,20,7.9,32,34.6,33.8,28.8,33.6,33.5,29.1,30.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-05-15",10.3,11.2,9.7,7.8,10.5,10.7,12.8,9.1,22.7,28.8,27,19.8,27,30.9,26.8,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-05-16",11.2,11,9.4,8.7,11,9.9,13.7,10.7,24.8,26.9,25.9,21.8,25.7,28,24,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-05-17",10.5,11.1,8.9,10.1,11.9,9.7,17.2,10.5,29.9,31.9,31.9,26.4,31.4,30.7,26.5,28.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-05-18",10,11,8.3,9.8,11.7,10.5,16.5,10,27,31.8,30.9,22.6,30.4,30.8,26.9,24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-05-19",8.9,10.2,7.8,7.8,10.4,9.3,15.6,8.7,25.8,29.6,28.2,21.5,28.6,28.8,23.4,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-05-20",9.4,9.9,8,7.4,10,9.1,15.1,9,24.9,29.5,28.1,21.4,27.7,28.6,24.2,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-05-21",10.9,9.8,8,9.8,10.6,8.6,15.1,10.8,22.6,29.9,27.6,19.2,26.6,28.7,25.7,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-05-22",9.8,10.1,8.2,7.2,11,9.3,17.1,8.4,27.6,29.7,29.3,24.5,28.8,28.5,25.2,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-05-23",9.6,10.9,9,7,10.5,9.4,16.2,8.3,29.1,30.7,30.4,25.2,30,29.4,25.3,26.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-05-24",9.2,8.9,7.4,7.4,8.5,7.9,10.9,8.3,23.7,28.9,26.7,20.6,26.1,27.6,23.6,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-05-25",9.6,8.5,7.2,9.7,8.2,7.2,12.4,10.3,21.9,26.2,24.5,18.5,23.7,25.5,21.3,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-05-26",10.5,9.3,9.4,10.6,8.8,8.1,11.5,10.7,18.8,25.3,23,16.4,21.9,25.1,21.3,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.29
"2023-05-27",10.5,9.9,9.8,10.6,9,8.2,11.9,10.7,17.7,24,21.9,16,20.8,25,20.7,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.33
"2023-05-28",10.6,10.2,10.3,10.6,9.6,8.4,12.7,10.7,20.5,26.9,25.2,17.4,24,25.9,22.4,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-05-29",11.3,11,10.9,10.9,10.2,10.4,12.3,11,22.6,27,25.8,18.8,24.7,25.6,22.4,20.3,3.42,2.85,1.88,9.01,6.16,1.29,3.88,0.28,0.4,0,0,0,0,0.32,0.06
"2023-05-30",11.3,10.6,10.7,11,9.6,10.7,10.5,11.2,16,21.3,19,15.8,17.4,24.5,21.6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"2023-05-31",10.8,10,9.6,10.4,9.2,8.1,10.1,10.6,19.7,23.1,22.9,16.8,21.7,22,19.6,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-01",7.5,8.9,8.4,6,8.5,6.9,12.1,6.5,23.5,26.7,26.9,20.6,24.8,25.1,20.8,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-02",7.4,8.3,6.2,5,8.2,6.1,12.6,6.1,27.1,26.1,27,22.3,26.1,25.6,20.4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-03",8.1,7.6,5.6,4.7,8.6,5.4,14.8,6,29.2,29,29.1,24,27.8,27.5,23.5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-04",9.3,11.1,8.2,6.3,11.5,8.2,18.3,7.4,29.9,31.8,32.1,25.9,30.4,30.5,26.4,27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-05",9.5,11.9,9.5,7.1,11.9,9.7,19.3,8.5,30.3,34.1,33.6,25.4,33.5,33.4,28.6,26.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-06",11.6,11.6,10.1,10.7,11.8,11.7,17.1,11,19,30.1,28.4,17.9,29.3,29.7,26.5,18.2,0,0,0,0,0,0,0,0,0,0.16,0,0.3,0.13,0.01,0.51
"2023-06-07",12.2,11.6,11.6,12.5,11.6,10.7,10.5,12.6,17.2,21.1,19.7,17.4,18.7,22.9,20.4,17.4,0,0.02,0.18,0.07,0.01,0.51,0,0,0.02,0,0,0.48,0.11,0.24,0.14
"2023-06-08",12.7,12.4,11.1,13.1,11.9,11.3,9.6,13,17.5,22.3,21.2,16.8,21.9,22.8,18.9,18,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0
"2023-06-09",12.1,12.8,13.1,11.6,11.4,11.4,11.9,11.9,22.6,25.3,25.2,19.7,26,24.3,21.2,20.9,0.27,0,0,0,0.07,0,0.04,0,0,0,0,0,0.14,0,0
"2023-06-10",10.8,9.7,9,10.4,10,9.2,12.7,11.3,22.2,24.1,24.8,18.6,25.7,23.4,21.2,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0
"2023-06-11",11.4,9.4,10.1,11.1,10.9,8.6,14.7,11.4,22.5,30.1,30.1,19.7,29,29,24.2,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-12",11.6,11.8,12,11.5,11.5,12.9,14.7,11.7,22.4,28.7,27.9,18.9,29.4,28.1,23.6,20.2,0.02,0,0,0,0,0,0,0,0,0,0,0.26,0.01,0,0.33
"2023-06-13",11.9,11.6,11.7,12,11.5,10.6,12.8,12,21.4,25.9,25,20.2,26.7,26.3,23.3,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0
"2023-06-14",11.3,11.3,9.8,11.2,11.6,9.8,14.7,11.5,24.7,28.2,27.1,19.3,28.5,28,23.5,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-15",11.1,11.5,10.2,9.6,12.6,10.8,16.6,10.7,24.5,30.7,30.1,20.3,29.7,29.7,25.6,22.1,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-16",11.3,12.9,9.8,10.6,12.4,11.2,17.3,11.4,24,31.9,30.2,20,31,30.6,26.8,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-17",12.2,12.3,9.5,12.1,11.4,11.7,19.3,12.3,24.3,34.2,32.2,20.2,33.4,33.2,29,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-18",11.7,11.8,10.1,9.8,12.5,11.5,12,10.3,27.9,31.4,30.9,20,30.6,31.4,26.4,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-19",9.7,9.6,9.3,9.3,8.6,6.9,3.5,9.6,26.3,24.4,25.2,25.6,24.7,23.5,18.7,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-20",8.8,7.6,5.5,5.5,6.6,4.6,2.9,7,25.3,18.7,19.4,22,19,17.7,12.1,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-21",7.6,6.3,4.6,4.9,5.9,3.7,4.7,6.7,26.3,22.2,23.1,22.4,23.2,21.2,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-22",7.3,7.8,5.3,6.2,7.6,5.3,11.9,8,25.9,27.4,28.3,23.5,26.7,25.9,22.3,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-23",10.8,8.8,9,11.1,8.6,6.8,9.2,11.5,21,24.3,23.9,17.9,25.4,26,20.7,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-24",10.9,10.3,8.9,11,8.9,8.9,10.2,11.6,23.1,25.3,25.6,19.8,25.8,24.4,20.7,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-25",11.5,10.4,8.6,10.8,9.4,9,12.8,11.4,22.3,27.4,26.9,19.8,27.2,26.3,22.4,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-26",11.6,10.5,9.1,11.1,10.8,9.3,13.7,11.2,25.6,27.6,26.4,18.8,26.9,26.6,23.4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-27",10.6,10.9,8.9,10.6,10.7,9.7,15.3,10.5,27.5,29.6,29.5,22,29.7,28,23.6,24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-28",10.8,11.4,9,10.7,11.1,9.4,16.1,11.2,26.7,29.9,30.6,23.4,30.3,29.4,24.7,25.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-29",10.4,11.5,9.5,10.6,11.9,10,17.6,11.1,28.4,33.4,33.1,22.8,32.7,32.5,27.5,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-06-30",10.8,13.5,10.5,9.1,15,12.3,23.3,9.8,34.5,37.4,37.5,26,36.1,35.7,31.9,28.5,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-07-01",11.8,16.8,13.5,9.2,17.2,14.4,25.7,9.9,38.4,39.4,39.9,30.1,38,38.1,34.2,33.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-07-02",13.2,17.2,14.1,9.3,19.1,16.2,25.8,10.2,37.4,40.9,40.8,34.9,39.8,39.7,35.3,36.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-07-03",11.6,15.7,13.3,10.3,17.3,15.3,25,11.4,35.8,40,40,31.2,38.8,39.2,35.3,33.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-07-04",11.3,12.4,11.9,11.2,13.1,13.8,21.3,11.5,27.3,37.1,34.7,21.7,35,35.8,32.1,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-07-05",11.3,11.8,11.8,11.1,12.5,12.9,21.2,11.5,25.2,34.7,32.2,20.3,33.3,34.7,31.4,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-07-06",11.5,11.7,11.9,11.4,12.2,12.7,19.2,11.7,23.4,31.7,29.7,19.1,31.5,33,30.7,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-07-07",12.2,11.4,10.3,11.4,11.7,11.4,16.8,11.5,27,32.5,30.6,20.4,31.6,32,29.7,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-07-08",8.4,11.2,8.2,6.8,10.8,9.7,15,8.2,26.3,31.2,31.1,23.4,30,30.7,24.7,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-07-09",7.7,9.4,7.7,6.3,8.9,8.7,14.2,7.4,25.8,28.6,29.2,23.6,29.2,28.6,24.3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-07-10",7.5,9.9,9.5,6.1,9.2,9.2,13.7,6.8,23.9,27.8,27.4,21.6,26.8,27.2,23.6,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023-07-11",8.8,10.6,9.2,7.9,10.6,9.1,17,8.9,28.6,32.6,32.4,25.5,31.4,31.4,27.1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
